# Star Fox 2 한국어 번역 (일본판 원문 기준)
# 형식: 번호|번역문   (#으로 시작하는 줄은 주석)
# 태그: {START} {SELECT} [Y] [X] [A] [B] [L] [R] [+] [▶]
# 공백은 자동 줄바꿈 위치가 되므로 원문처럼 적당히 끊어 주세요. "=원문" 은 원본 바이트 유지.
000|스타폭스 제군, 들리는가? 큰일이 났네!!
001|그 안돌프가 살아 있었던 걸세!
002|그리고 우리 코네리아에 공격을 해 왔네!
003|안돌프군의 대형 항공모함과 거기서 출격한 공격 부대가
004|코네리아를 향해 이동 중일세.
005|게다가 라일라트계의 몇몇 행성에는 안돌프군의 기지가
006|세워져, 코네리아를 향해 행성간 미사일이 발사되기 시작했네.
007|이번 싸움에는 역시 자네들의 도움이 필요하네.
008|코네리아도 웬만한 대미지는 버틸 수 있지만, 만약
009|대미지가 100%가 되면 모든 게 끝장일세!
010|코네리아의 피해를 최대한 줄이고,
011|안돌프군을 전멸시켜 주게.  부탁하네, 스타폭스!!!
012|안돌프군의 기지에 침입해 내부에서 기지를 파괴해 주게.
013|적 항공모함에 침입해 내부에서 파괴하고 격침시키게.
014|코네리아가 공격을 받고 있네.
015|코네리아가 공격당하고 있네! 어떻게 좀 안 되겠나!!
016|코네리아가 공격받고 있네! 물러설 곳이 없어! 어서 와 주게!!!
017|코네리아가 미사일에 피해를 입었네! 대체 뭘 하고 있는 겐가!!
018|코네리아가 플래닛 캐논의 공격으로 대미지를 입었네!
019|행성에 도착하거나 적에게 접근하면 전투가 시작됩니다.
020|마더십에 돌아가면 적 기지가 없는 행성으로 워프할 수 있습니다.
021|커서를 움직여 [B]로 아윙의 이동할 곳을 정해 주십시오.
022|나는 부활했다! 코네리아에 복수하기 위해···
023|코네리아 놈들, 뼈저리게 깨닫게 해 주마!
024|이 우주에서 가장 위대한 자가 누구인지를!
025|[Y]로 부스트를 쓸 수 있어! 잘 기억해 둬!
026|아윙의 부스트는 [Y]버튼이야! 가속할 수 있다고!
027|[Y]를 누르고 있는 동안 부스트로 가속할 수 있다!
028|[Y]를 누르고 있는 동안 부스트로 빨리 날 수 있개굴!
029|가속하고 싶으면 [Y]를 누르고 있는 동안 부스트하는 거야!
030|[Y]를 누르고 있는 동안 부스트해서 빨리 날 수 있어요!
031|[Y]버튼 부스트로 추격하는 거야!
032|꾸물대지 마! [Y]부스트를 쓰라고
033|꽤 멀리 있다 [Y]부스트를 써라!
034|저렇게 멀리 있개굴! [Y]부스트로 가속이야!
035|꽤 멀리 있어! [Y]부스트로 쫓아가자!
036|[Y]부스트를 써서 쫓아가지 않으면 놓치고 말 거예요!!
037|코네리아가 위험해! {START}로 여기서 빠져나가자!
038|쳇! 어쩔 수 없지 {START}로 도우러 가자고!
039|코네리아로 향하자! {START}로 여기를 빠져나가는 거다!
040|코네리아가 당하면 큰일이야! {START}로 돌아가자!
041|어머! 큰일이잖아! {START}로 여기서 빠져나가자!
042|어머, 곤란하네요··· {START}로 돌아가요!
043|이제 시간이 없어! {START}로 여기는 포기하자!
044|진짜 위험하다고!! {START}로 여기를 빠져나가자!
045|이제 틀렸다!! {START}로 일단 돌아가자!
046|대위기!! 당장 {START}로 가지 않으면 끝장이야~!
047|일단 여기는 포기하자! {START}를 눌러!
048|타임 리미트예요! 지금 {START}로 가지 않으면 끝이에요!
049|작전 구역을 벗어났다. 돌아간다, 따라와!
050|손 많이 가네! 작전 구역은 이쪽이야 따라와!!
051|어~이 왜 그러냐? 여기엔 아무것도 없다! 따라오거라!!
052|개굴~! 길을 잃은 것 같개굴. 아마 이쪽인 것 같개굴!
053|어머어머, 손 많이 가는 사람이네. 돌아간다! 따라와!!
054|저기, 이 근처엔 아무것도 없어요. 저쪽으로 가 봐요···
055|{SELECT}로 변형할 수 있어. 잘 기억해 둬!
056|아윙의 변형은 {SELECT}야! 잊지 말라고!
057|{SELECT}를 누르면 변형할 수 있다.
058|아윙의 변형은 {SELECT}야. 잊지 마개굴~!
059|변형하고 싶으면 {SELECT}를 누르는 거야!
060|{SELECT}를 누르면 아윙이 변형해요!
061|조심해! 마그마 위에 내리면 대미지를 입어!
062|이봐! 마그마 위에 내리지 마! 화상 입어도 난 모른다
063|마그마에 착지하면 대미지를 입는다 조심하거라!
064|뜨거워~ 뜨거워~ 몸이 바싹바싹 말라~ 뜨거워~ 뜨거워~!!!
065|마그마 위에 내리면 대미지를 입어! 신중하게!
066|조심해요! 실수로 내리면 대미지를 입어요!
067|밖에서 공격해선 소용없어! 입구를 여는 스위치를 찾아!
068|직접 공격은 헛수고야! 입구 스위치를 찾으라고!!
069|공격이 안 통한다! 안으로 들어갈 장치를 찾거라!!
070|공격이 안 통하개굴! 입구 스위치를 찾는 거개굴!!
071|밖에서 공격해도 꿈쩍도 안 해! 입구를 열어야 해!!
072|어딘가에 입구를 여는   스위치가   있을 거예요!!
073|배리어가 쳐져 있어서 다가갈 수 없어! 발생 장치를 부숴!!
074|배리어 발생 장치를 파괴하지 않으면 못 다가간다고!!
075|배리어가 있다! 먼저 발생 장치를 파괴해야···
076|기지 주변에 있는 게 배리어 발생 장치야 부숴 버리개굴!
077|배리어를 끄지 않으면 다가갈 수 없어! 어떻게든 해야 해!!
078|배리어가 쳐져 있어요! 발생 장치를 부수세요!
079|적 항공모함에서 새로운 공격 부대가 출격했네!!
080|행성간 미사일이 코네리아를 향해 발사되었네!!
081|큰일일세! 새로운 적 항공모함이 나타났네!!
082|코네리아의 대미지에 주의해 주십시오.
083|=
084|사양할 것 없다 놈들을 마음껏 혼내 주거라!!
085|잘했네. 이제 이 행성에서의 미사일 공격은 없어질 걸세.
086|괘씸한 스타폭스··· 또다시 내 방해를 하려는 게냐···
087|크오~! 다들 뭘 하고 있는 게냐~! 쓸모없는 놈들~!!
088|잘했네! 이제 코네리아에 대한 공격도 줄 걸세.
089|파트너로 컨티뉴하시겠습니까?
090|예
091|아니오
